Loaded Arguments:
config_file             : config.ini
experiment              : pcam_bnn_1
task                    : bnn
seed                    : 1111
verbose                 : True
log_dir                 : Logs
log_interval            : 10
tensorboard_dir         : Tensorboard
dataset                 : pcam
dataset_dir             : ../../Datasets/pcam
val_split               : 0.2
test_split              : 0.2
image_x                 : 96
image_y                 : 96
square_image            : True
augmentation            : True
data_workers            : 4
use_gpu                 : True
precision               : 16
efficient_net           : 7
model_dir               : Models
epochs                  : 20
batch_size              : 64
minimum_lr              : 1e-05
maximum_lr              : 0.1
label_smoothing         : 0.0
focal_loss              : False
focal_alpha             : 0.25
focal_gamma             : 2.0
training_samples        : 10
batches_per_epoch       : 0


Set Random Seed to 1111
Device set to cuda:0

Loader Datasets

Model Initialised
Time: 001000s	Train Epoch: 01 [040320/235930] (17%)	Loss: 439.304529	Cross Entropy: 0.4065	ELBO: 438.8980	Accuracy: 0.829067
Time: 001016s	Train Epoch: 01 [040960/235930] (17%)	Loss: 432.443992	Cross Entropy: 0.4038	ELBO: 432.0402	Accuracy: 0.830322
Time: 001032s	Train Epoch: 01 [041600/235930] (18%)	Loss: 425.794572	Cross Entropy: 0.4011	ELBO: 425.3934	Accuracy: 0.831442
Time: 001048s	Train Epoch: 01 [042240/235930] (18%)	Loss: 419.346518	Cross Entropy: 0.3984	ELBO: 418.9481	Accuracy: 0.832789
Time: 001064s	Train Epoch: 01 [042880/235930] (18%)	Loss: 413.091148	Cross Entropy: 0.3960	ELBO: 412.6951	Accuracy: 0.833862
Time: 001080s	Train Epoch: 01 [043520/235930] (18%)	Loss: 407.019041	Cross Entropy: 0.3930	ELBO: 406.6261	Accuracy: 0.835363
Time: 001095s	Train Epoch: 01 [044160/235930] (19%)	Loss: 401.123705	Cross Entropy: 0.3908	ELBO: 400.7329	Accuracy: 0.836322
Time: 001111s	Train Epoch: 01 [044800/235930] (19%)	Loss: 395.397778	Cross Entropy: 0.3896	ELBO: 395.0082	Accuracy: 0.836696
Time: 001127s	Train Epoch: 01 [045440/235930] (19%)	Loss: 389.832588	Cross Entropy: 0.3879	ELBO: 389.4447	Accuracy: 0.837566
Time: 001143s	Train Epoch: 01 [046080/235930] (20%)	Loss: 384.421762	Cross Entropy: 0.3860	ELBO: 384.0357	Accuracy: 0.838238
Time: 001159s	Train Epoch: 01 [046720/235930] (20%)	Loss: 379.159566	Cross Entropy: 0.3846	ELBO: 378.7750	Accuracy: 0.838977
Time: 001175s	Train Epoch: 01 [047360/235930] (20%)	Loss: 374.038694	Cross Entropy: 0.3823	ELBO: 373.6564	Accuracy: 0.840013
Time: 001191s	Train Epoch: 01 [048000/235930] (20%)	Loss: 369.054641	Cross Entropy: 0.3803	ELBO: 368.6743	Accuracy: 0.840854
Time: 001207s	Train Epoch: 01 [048640/235930] (21%)	Loss: 364.202327	Cross Entropy: 0.3790	ELBO: 363.8233	Accuracy: 0.841468
Time: 001222s	Train Epoch: 01 [049280/235930] (21%)	Loss: 359.475170	Cross Entropy: 0.3768	ELBO: 359.0984	Accuracy: 0.842451
Time: 001238s	Train Epoch: 01 [049920/235930] (21%)	Loss: 354.869119	Cross Entropy: 0.3746	ELBO: 354.4945	Accuracy: 0.843429
Time: 001254s	Train Epoch: 01 [050560/235930] (21%)	Loss: 350.380298	Cross Entropy: 0.3730	ELBO: 350.0073	Accuracy: 0.844047
Time: 001270s	Train Epoch: 01 [051200/235930] (22%)	Loss: 346.003090	Cross Entropy: 0.3709	ELBO: 345.6322	Accuracy: 0.844980
Time: 001286s	Train Epoch: 01 [051840/235930] (22%)	Loss: 341.734581	Cross Entropy: 0.3695	ELBO: 341.3651	Accuracy: 0.845737
